Date,NumberAdmitted,SevenDayAverage,SevenDayAverageQF
20200301,1,,z
20200303,1,,z
20200304,1,,z
20200305,3,,z
20200306,4,,z
20200307,2,,z
20200308,1,1.857142857,
20200309,6,2.571428571,
20200310,9,3.714285714,
20200311,14,5.571428571,
20200312,7,6.142857143,
20200313,4,6.142857143,
20200314,9,7.142857143,
20200315,8,8.142857143,
20200316,10,8.714285714,
20200317,22,10.57142857,
20200318,18,11.14285714,
20200319,26,13.85714286,
20200320,47,20,
20200321,49,25.71428571,
20200322,37,29.85714286,
20200323,71,38.57142857,
20200324,72,45.71428571,
20200325,92,56.28571429,
20200326,108,68,
20200327,118,78.14285714,
20200328,140,91.14285714,
20200329,117,102.5714286,
20200330,153,114.2857143,
20200331,146,124.8571429,
20200401,187,138.4285714,
20200402,141,143.1428571,
20200403,179,151.8571429,
20200404,130,150.4285714,
20200405,133,152.7142857,
20200406,168,154.8571429,
20200407,142,154.2857143,
20200408,120,144.7142857,
20200409,109,140.1428571,
20200410,96,128.2857143,
20200411,64,118.8571429,
20200412,66,109.2857143,
20200413,84,97.28571429,
20200414,83,88.85714286,
20200415,76,82.57142857,
20200416,77,78,
20200417,80,75.71428571,
20200418,60,75.14285714,
20200419,47,72.42857143,
20200420,55,68.28571429,
20200421,55,64.28571429,
20200422,50,60.57142857,
20200423,51,56.85714286,
20200424,68,55.14285714,
20200425,30,50.85714286,
20200426,30,48.42857143,
20200427,57,48.71428571,
20200428,51,48.14285714,
20200429,35,46,
20200430,35,43.71428571,
20200501,38,39.42857143,
20200502,34,40,
20200503,32,40.28571429,
20200504,39,37.71428571,
20200505,29,34.57142857,
20200506,36,34.71428571,
20200507,26,33.42857143,
20200508,25,31.57142857,
20200509,15,28.85714286,
20200510,24,27.71428571,
20200511,27,26,
20200512,27,25.71428571,
20200513,20,23.42857143,
20200514,20,22.57142857,
20200515,23,22.28571429,
20200516,14,22.14285714,
20200517,8,19.85714286,
20200518,22,19.14285714,
20200519,6,16.14285714,
20200520,12,15,
20200521,10,13.57142857,
20200522,13,12.14285714,
20200523,11,11.71428571,
20200524,6,11.42857143,
20200525,8,9.428571429,
20200526,8,9.714285714,
20200527,7,9,
20200528,4,8.142857143,
20200529,9,7.571428571,
20200530,2,6.285714286,
20200531,8,6.571428571,
20200601,3,5.857142857,
20200602,2,5,
20200603,4,4.571428571,
20200604,4,4.571428571,
20200605,8,4.428571429,
20200606,4,4.714285714,
20200607,4,4.142857143,
20200608,3,4.142857143,
20200609,4,4.428571429,
20200610,4,4.428571429,
20200611,4,4.428571429,
20200613,3,3.714285714,
20200614,4,3.714285714,
20200615,4,3.714285714,
20200616,4,3.857142857,
20200617,3,3.714285714,
20200619,3,3.571428571,
20200620,1,3.142857143,
20200622,4,3.285714286,
20200623,2,3,
20200624,1,2.571428571,
20200625,2,2.285714286,
20200627,1,2,
20200628,1,1.714285714,
20200629,1,1.714285714,
20200701,2,1.428571429,
20200703,1,1.285714286,
20200705,1,1.285714286,
20200706,2,1.285714286,
20200710,2,1.428571429,
20200711,2,1.571428571,
20200714,1,1.571428571,
20200716,1,1.428571429,
20200719,2,1.571428571,
20200725,3,1.857142857,
20200729,2,1.857142857,
20200801,1,1.714285714,
20200804,1,1.571428571,
20200805,1,1.571428571,
20200807,1,1.571428571,
20200810,3,1.714285714,
20200811,1,1.428571429,
20200813,1,1.285714286,
20200814,2,1.428571429,
20200815,3,1.714285714,
20200816,1,1.714285714,
20200817,2,1.857142857,
20200818,1,1.571428571,
20200819,2,1.714285714,
20200820,3,2,
20200821,2,2,
20200822,2,1.857142857,
20200824,2,2,
20200825,4,2.285714286,
20200826,3,2.571428571,
20200827,2,2.571428571,
20200828,3,2.571428571,
20200829,2,2.571428571,
20200830,2,2.571428571,
20200831,2,2.571428571,
20200901,1,2.142857143,
20200902,3,2.142857143,
20200903,1,2,
20200904,8,2.714285714,
20200905,3,2.857142857,
20200906,1,2.714285714,
20200907,7,3.428571429,
20200908,5,4,
20200909,3,4,
20200910,7,4.857142857,
20200911,6,4.571428571,
20200912,5,4.857142857,
20200913,4,5.285714286,
20200914,9,5.571428571,
20200915,6,5.714285714,
20200916,15,7.428571429,
20200917,8,7.571428571,
20200918,6,7.571428571,
20200919,8,8,
20200920,10,8.857142857,
20200921,9,8.857142857,
20200922,22,11.14285714,
20200923,13,10.85714286,
20200924,20,12.57142857,
20200925,17,14.14285714,
20200926,12,14.71428571,
20200927,20,16.14285714,
20200928,26,18.57142857,
20200929,17,17.85714286,
20200930,23,19.28571429,
20201001,31,20.85714286,
20201002,35,23.42857143,
20201003,28,25.71428571,
20201004,29,27,
20201005,46,29.85714286,
20201006,58,35.71428571,
20201007,50,39.57142857,
20201008,56,43.14285714,
20201009,42,44.14285714,
20201010,45,46.57142857,
20201011,54,50.14285714,
20201012,71,53.71428571,
20201013,84,57.42857143,
20201014,70,60.28571429,
20201015,75,63,
20201016,97,70.85714286,
20201017,68,74.14285714,
20201018,62,75.28571429,
20201019,94,78.57142857,
20201020,105,81.57142857,
20201021,92,84.71428571,
20201022,96,87.71428571,
20201023,93,87.14285714,
20201024,75,88.14285714,
20201025,89,92,
20201026,96,92.28571429,
20201027,96,91,
20201028,95,91.42857143,
20201029,68,87.42857143,
20201030,100,88.42857143,
20201031,77,88.71428571,
20201101,79,87.28571429,
20201102,69,83.42857143,
20201103,83,81.57142857,
20201104,75,78.71428571,
20201105,66,78.42857143,
20201106,63,73.14285714,
20201107,55,70,
20201108,63,67.71428571,
20201109,67,67.42857143,
20201110,61,64.28571429,
20201111,70,63.57142857,
20201112,72,64.42857143,
20201113,71,65.57142857,
20201114,72,68,
20201115,65,68.28571429,
20201116,65,68,
20201117,72,69.57142857,
20201118,63,68.57142857,
20201119,69,68.14285714,
20201120,74,68.57142857,
20201121,61,67,
20201122,48,64.57142857,
20201123,74,65.85714286,
20201124,71,65.71428571,
20201125,58,65,
20201126,46,61.71428571,
20201127,49,58.14285714,
20201128,37,54.71428571,
20201129,42,53.85714286,
20201130,52,50.71428571,
20201201,39,46.14285714,
20201202,61,46.57142857,
20201203,42,46,
20201204,52,46.42857143,
20201205,41,47,
20201206,40,46.71428571,
20201207,55,47.14285714,
20201208,53,49.14285714,
20201209,42,46.42857143,
20201210,49,47.42857143,
20201211,60,48.57142857,
20201212,41,48.57142857,
20201213,43,49,
20201214,69,51,
20201215,47,50.14285714,
20201216,63,53.14285714,
20201217,61,54.85714286,
20201218,54,54,
20201219,52,55.57142857,
20201220,48,56.28571429,
20201221,67,56,
20201222,53,56.85714286,
20201223,59,56.28571429,
20201224,45,54,
20201225,45,52.71428571,
