Country,WeekEnding,WeekNumber,ProbableHospitalOnsetCOVID19,DefiniteHospitalOnsetCOVID19
S92000003,20200315,11,3,4
S92000003,20200322,12,11,28
S92000003,20200329,13,29,96
S92000003,20200405,14,29,218
S92000003,20200412,15,48,207
S92000003,20200419,16,39,174
S92000003,20200426,17,25,112
S92000003,20200503,18,28,86
S92000003,20200510,19,30,69
S92000003,20200517,20,9,37
S92000003,20200524,21,6,15
S92000003,20200531,22,8,10
S92000003,20200607,23,4,5
S92000003,20200614,24,3,5
S92000003,20200621,25,2,8
S92000003,20200628,26,2,1
S92000003,20200712,28,1,1
S92000003,20200809,32,1,0
S92000003,20200816,33,1,1
S92000003,20200830,35,1,1
S92000003,20200906,36,1,1
S92000003,20200920,38,1,6
S92000003,20200927,39,6,9
S92000003,20201004,40,13,13
S92000003,20201011,41,33,61
S92000003,20201018,42,36,63
S92000003,20201025,43,73,116
S92000003,20201101,44,61,139
S92000003,20201108,45,66,105
S92000003,20201115,46,57,92
S92000003,20201122,47,48,125
S92000003,20201129,48,44,91
S92000003,20201206,49,52,104
S92000003,20201213,50,68,124
S92000003,20201220,51,94,123
S92000003,20201227,52,37,83
S92000003,20210103,53,62,88
S92000003,20210110,1,116,219
S92000003,20210117,2,115,244
S92000003,20210124,3,81,231
S92000003,20210131,4,95,193
S92000003,20210207,5,75,111
S92000003,20210214,6,65,138
S92000003,20210221,7,32,62
S92000003,20210228,8,22,31
S92000003,20210307,9,10,18
S92000003,20210314,10,11,31
S92000003,20210321,11,10,25
S92000003,20210328,12,8,5
S92000003,20210404,13,3,4
S92000003,20210411,14,5,5
S92000003,20210418,15,2,0
S92000003,20210425,16,1,2
S92000003,20210509,18,1,2
S92000003,20210523,20,3,5
S92000003,20210530,21,2,3
S92000003,20210606,22,2,3
S92000003,20210613,23,2,6
S92000003,20210620,24,1,6
S92000003,20210627,25,6,10
S92000003,20210704,26,14,29
S92000003,20210711,27,5,21
S92000003,20210718,28,5,19
S92000003,20210725,29,7,12
S92000003,20210801,30,1,1
S92000003,20210808,31,2,8
S92000003,20210815,32,1,14
S92000003,20210822,33,16,28
S92000003,20210829,34,12,30
S92000003,20210905,35,16,33
S92000003,20210912,36,29,52
S92000003,20210919,37,25,38
S92000003,20210926,38,36,66
S92000003,20211003,39,21,55
S92000003,20211010,40,33,68
S92000003,20211017,41,23,46
S92000003,20211024,42,17,46
S92000003,20211031,43,30,66
S92000003,20211107,44,14,32
S92000003,20211114,45,13,57
S92000003,20211121,46,13,68
S92000003,20211128,47,10,62
S92000003,20211205,48,8,28
S92000003,20211212,49,14,43
S92000003,20211219,50,9,56
S92000003,20211226,51,32,85
S92000003,20220102,52,61,232
S92000003,20220109,1,71,226
S92000003,20220116,2,73,209
S92000003,20220123,3,46,122
S92000003,20220130,4,45,123
S92000003,20220206,5,28,89
S92000003,20220213,6,55,108
S92000003,20220220,7,80,183
S92000003,20220227,8,78,186
S92000003,20220306,9,103,234
S92000003,20220313,10,131,333
S92000003,20220320,11,121,329
S92000003,20220327,12,133,342
S92000003,20220403,13,105,284
S92000003,20220410,14,83,241
S92000003,20220417,15,55,182
S92000003,20220424,16,81,188
S92000003,20220501,17,54,128
S92000003,20220508,18,27,101
S92000003,20220515,19,25,80
S92000003,20220522,20,19,48
S92000003,20220529,21,32,70
S92000003,20220605,22,40,79
S92000003,20220612,23,40,121
S92000003,20220619,24,98,226
S92000003,20220626,25,89,191
S92000003,20220703,26,82,221
S92000003,20220710,27,105,251
S92000003,20220717,28,73,226
S92000003,20220724,29,73,142
S92000003,20220731,30,49,116
S92000003,20220807,31,45,96
S92000003,20220814,32,48,99
S92000003,20220821,33,33,111
S92000003,20220828,34,34,69
S92000003,20220904,35,51,106
S92000003,20220911,36,28,73
S92000003,20220918,37,32,76
S92000003,20220925,38,42,119
S92000003,20221002,39,47,153
S92000003,20221009,40,62,195
S92000003,20221016,41,54,145
S92000003,20221023,42,56,122
S92000003,20221030,43,48,140
S92000003,20221106,44,43,80
S92000003,20221113,45,64,119
S92000003,20221120,46,25,79
S92000003,20221127,47,43,96
S92000003,20221204,48,72,144
S92000003,20221211,49,48,203
S92000003,20221218,50,80,232
